Filename,Artist,Country/Entity,Keywords
CMB0542.tif,,Cambodia,woman|bed|man|centipede|bugs|insects|tempat tidur|koi|serangga|lipan|kelabang|kaki seribu|manusia|wanita
,,,
CMB0568.tif,,Cambodia,animal|chicken|hare|lion|otter|rabbit|tiger|binatang|ayam|kelinci|singa|berang-berang|harimau
,,,
CMB0580.tif,,Cambodia,animal|chicken|hare|lion|otter|rabbit|tiger|binatang|ayam|kelinci|singa|berang-berang|harimau
,,,
CMB0600.tif,,Cambodia,rose|flower|bunga|mawar
,,,
CMB0595.tif,,Cambodia,boy|anak laki-laki
,,,
CMB0583.tif,,Cambodia,animal|deer|hare|kick|rabbit|binatang|rusa|kelinci|tendang
,,,
CMB0607.tif,,Cambodia,soap|bag|box|tas|kotak|peti|sabun
,,,
CMB0612.tif,,Cambodia,monkey|animal|binatang|kera|monyet
,,,
CMB0563.tif,,Cambodia,city|street|transportation|motorcycle|car|vehicle|mobil|kota|sepeda motor|motor|jalan|transportasi|pengangkutan|kendaraan
,,,
CMB0588.tif,,Cambodia,animal|chicken|hare|otter|rabbit|riding|tiger|binatang|ayam|kelinci|berang-berang|naik|harimau
,,,
CMB0619.tif,,Cambodia,bed|kelambu|koi|mosquito net|net|tempat tidur|wanita|woman
,,,
CMB0614.tif,,Cambodia,man|woman|rash|manusia|ruam|wanita
,,,
CMB0561.tif,,Cambodia,chicken|eating|ayam|makan
,,,
CMB0626.tif,,Cambodia,music|musik
,,,
CMB0633.tif,,Cambodia,baby|girl|play|woman|bayi|anak perempuan|bermain-main|wanita
,,,
CMB0631.tif,,Cambodia,singing|woman|music|musik|nyanyi|wanita
,,,
CMB0638.tif,,Cambodia,bed|kelambu|koi|mosquito net|net|tempat tidur|wanita|woman
,,,
CMB0650.tif,,Cambodia,cigarette|rokok
,,,
CMB0657.tif,,Cambodia,climb|forest|man|stick|tree|vine|woman|panjat|naik|hutan|manusia|kayu|pohon|tumbuhan merambat|wanita
,,,
CMB0645.tif,,Cambodia,music|musik
,,,
CMB0662.tif,,Cambodia,animal|elephant|binatang|gajah
,,,
CMB0676.tif,,Cambodia,man|teacher|student|school|boy|blackboard|chalkboard|papan tulis (hitam)|anak laki-laki|papan tulis|manusia|sekolah|pelajar|murid|guru
,,,
CMB0689.tif,,Cambodia,animal|reptile|stream|tiger|turtle|water|binatang|reptil|sungai|kali|aer|harimau|kura-kura|air
,,,
CMB0669.tif,,Cambodia,cut|elephant|group|man|woman|potong|gajah|kelompok|manusia|wanita
,,,
CMB0684.tif,,Cambodia,animal|reptile|talking|tiger|turtle|binatang|reptil|bicara|harimau|kura-kura
,,,
CMB0664.tif,,Cambodia,dead|elephant|hunting|man|mati|gajah|buru (memburu)|manusia
,,,
CMB0701.tif,,Cambodia,turtle|tortoise|reptile|reptil|kura-kura darat|kura-kura
,,,
CMB0696.tif,,Cambodia,loom|weave|woman|tenun|wanita
,,,
CMB0708.tif,,Cambodia,animal|cat|binatang|kucing
,,,
CMB0681.tif,,Cambodia,animal|reptile|talking|tiger|turtle|binatang|reptil|bicara|harimau|kura-kura
,,,
CMB0703.tif,,Cambodia,hand|string|tangan|tali
,,,
CMB0715.tif,,Cambodia,bed|health|ill|sick|woman|tempat tidur|koi|kesehatan|sakit|wanita
,,,
CMB0734.tif,,Cambodia,floor|scrub|wash|woman|work|lantai|gosok|cuci|wanita|kerja
,,,
CMB0732.tif,,Cambodia,fever|health|woman|demam|kesehatan|wanita
,,,
CMB0720.tif,,Cambodia,doctor|health|man|woman|dokter|kesehatan|manusia|wanita
,,,
